ID,"Source (Author, Title, & Details)",Melville Reference Codes
*28.,"Arnold, Matthew, New Poems (Boston: Ticknor &, Fields, 1867). [*Sealts #20]","C: 179, 211, 260!, 315, 319, 461b, 479c, 499a, 504a, 512b, 540, 652; JM: 489; TIM: 179, 441b; BB: 211; Unspec: 139, 143, 229, 686b, 705a"
*29.,"Arnold, Matthew, Poems ... A New and Complete Edition (Boston: Ticknor & Fields, 1856). (*Sealts #21]","C: 260!, 315; Unspec: 580, 686b, 705a 29a. “Arrest of the Confidence"
-,"Man,’’ New York Herald (8 July 1849), 2.","CM: 479a, 504b, 510b!, 686a 30. “Articles of War” [passed by"
-,"the Sixth Congress on 23 April 1800], United States Statutes at Large, vol. 2, ch. xxxiii. [*490]",WJ: 490
-,Atlantic Monthly,see 329.
-,Atlas,see 99.
-,Sources 25b-37,
31,"Augustine, St., of Hippo, The Confessions (printed in Latin, 1470; in English, 1620).",MD: 229?; CM: 254; Unspec: 143
-,"Aurelius, Marcus",see 17.
32,"Bacon, Francis, Essays or Counsels, Civil and Moral in The Works of Francis Bacon (Philadelphia: Hart, 1851). [*519]","P: 181, 519"
33,"Bacon, Francis, The Wisdom of the Ancients in The Works of Francis Bacon (Philadelphia, 1844). [*143]","M: 143; MD: 143; P: 143, 181; CM: 254; C: 143"
34,"Bailey, Philip James, Festus (1839).",MD: 229; Unspec: 303
35,"Baker, Dr. Louis A., Harry Martingale; or, Adventures of a Whaleman in the Pacific Ocean (Boston, 1848). [*182]","MD: 96?, 182?"
-,"Balzac, Honore de.",BB: 247; Unspec: 92
*36.,"Balzac, Honore de, Bureaucracy: or, A Civil Service Beformer [trans. Katharine Prescott Wormeley] (Boston: Roberts, 1889). [*Sealts #22]","Unspec: 265, 274"
*37.,"Balzac, Honore de, The Correspondence of Honore de Balzac; with a Memoir by His Sister, Madame de Surville; Translated by C. Lamb Kenney; with Portrait and Facsimile of the Handwriting of Sources 37^l6b Balzac (London: Bentley, 1878). [*Sealts #23]","Unspec: 274, 291b, 441, 442a"
*38.,"Balzac, Honore de, Eugenie Grandet; or, The Miser's Daughter. From the French of Honore de Balzac. Translated by O. W. Wight and F. B. Goodrich (New York: Budd & Carleton, 1861). [*Sealts #28]",Unspec: 247
*39.,"Balzac, Honore de, Pere Goriot [trans. Katharine Prescott Wormeley] (Boston: Roberts, 1885). [*Sealts #33]",Unspec: 274
<*40.,"Balzac, Honore de, Seraphita. With an Introduction by George Frederic Parsons (trans. Katharine Prescott Wormeley] (Boston: Roberts, 1889). [*Sealts #34]","P: 163a, 198; Unspec: 274, 442a"
*41.,"Balzac, Honore de, The Two Brothers [trans. Katharine Prescott Wormeley] (Boston: Roberts, 1887). [*Sealts #37]","TIM: 213, 247, 377b, 442a, 488a; UP: 377b; Unspec: 274"
-,"Balzac, Honore de",see also 739.
42,"Bancroft, George, History of the Colonization of the United States (1834—38) in A History of the United States (1834—75), vols. 1-3.",WJ: 518
43,"[Banvard, John], Description of Banvard’s Panorama of the Mississippi Biver (Boston, 1847) [pirated nearly verbatim from Timothy Flint’s A Condensed Geography and History of the Western States; or, The Mississippi Valley (1828)]. [*705]","CM: 254, 705 43a. “A Barber-ous Adventure,”"
-,"United States Magazine of Science, Art, Manufactures, Agriculture, Commerce and Trade, 2 (1855), 145^8. [*714]",CM: 714
43b.,"""A Barberous Drama” in ""Editor’s Drawer,” Harper’s, 11 (Nov. 1855), 854-55. [Sealts #240; *686a]",CM: 686a
44,"Barlow, Joel, The Columbiad.A Poem (Philadelphia and Baltimore: Printed by Fry & Kammerer for C. & A. Conrad & Co., 1807). [*569]",CM: 569?
45,"Barlow, Joel, The Vision of Columbus: A Poem in Nine Books (Hartford: Printed by Hudson & Goodwin for the Author, 1787). [*569]",CM: 569?
46,"Barnard, Charles H., A Narrative of the Sufferings and Adventures of Capt. Charles H. Barnard, in a Voyage round the World (New York: Bliss [etc.], 1829; or, New York: Callender, 1836). [*Sealts #38]","Unspec: 123, 212, 226"
46a.,"Barnum, Phineas Taylor, Life of P. T. Barnum, Written by Himself (1855).","CM: 254, 461a, 479a, 504b"
46b.,"""Bamumopsis. A Recitative” [poem], Literary World, 7 (14 Sept. Sources 46b-56 1850), 212-13. *479a)",CM: 479a
-,[*Sealts #326;,
